season,player_seasons,null_height,null_bodyWeight,null_draftYear,pct_null_height,pct_null_bodyWeight,pct_null_draftYear
2010-11,338,28.0,27.0,22.0,8.3,8.0,6.5
2011-12,325,29.0,29.0,24.0,8.9,8.9,7.4
2012-13,337,47.0,45.0,42.0,13.9,13.4,12.5
2013-14,335,55.0,54.0,51.0,16.4,16.1,15.2
2014-15,361,62.0,61.0,60.0,17.2,16.9,16.6
2015-16,348,82.0,82.0,82.0,23.6,23.6,23.6
2016-17,350,95.0,95.0,95.0,27.1,27.1,27.1
2017-18,350,118.0,118.0,118.0,33.7,33.7,33.7
2018-19,356,143.0,143.0,143.0,40.2,40.2,40.2
2019-20,329,170.0,170.0,170.0,51.7,51.7,51.7
2020-21,363,202.0,202.0,202.0,55.6,55.6,55.6
2021-22,371,232.0,232.0,232.0,62.5,62.5,62.5
2022-23,364,271.0,271.0,271.0,74.5,74.5,74.5
2023-24,353,291.0,291.0,291.0,82.4,82.4,82.4
2024-25,368,334.0,334.0,334.0,90.8,90.8,90.8
