personId,firstName,lastName,height,bodyWeight,draftYear
3,Grant,Long,81.0,3.0,1988.0
24,Keith,Jennings,67.0,160.0,-1.0
30,Richard,Dumas,79.0,30.0,1991.0
31,Lorenzo,Williams,81.0,200.0,-1.0
49,Gheorghe,Muresan,91.0,303.0,1993.0
51,Mahmoud,Abdul-Rauf,73.0,51.0,1990.0
55,Marty,Conlon,82.0,224.0,-1.0
64,Sam,Perkins,81.0,64.0,1984.0
66,Marques,Bragg,80.0,230.0,-1.0
70,Steve,Kerr,73.0,70.0,1988.0
74,Derrick,Phelps,76.0,181.0,-1.0
76,Cedric,Ceballos,79.0,76.0,1990.0
78,LaSalle,Thompson,82.0,78.0,1982.0
85,Brent,Price,73.0,85.0,1992.0
100,Tim,Legler,76.0,200.0,-1.0
116,David,Wood,81.0,230.0,-1.0
123,Robert,Pack,74.0,190.0,-1.0
128,David,Benoit,80.0,220.0,-1.0
133,David,Wesley,73.0,203.0,-1.0
141,Anthony,Tucker,80.0,141.0,-22.0
154,Adrian,Caldwell,80.0,154.0,-22.0
160,Tim,Breaux,79.0,215.0,-1.0
164,Chris,Childs,75.0,195.0,-1.0
173,Keith,Askins,80.0,173.0,-22.0
176,Antonio,Harvey,83.0,250.0,-1.0
180,John,Crotty,,,-1.0
239,Darrick,Martin,71.0,170.0,-1.0
273,Duane,Ferrell,79.0,215.0,-1.0
281,Scott,Williams,82.0,260.0,-1.0
317,John,Starks,77.0,190.0,-1.0
342,Andy,Toolson,78.0,210.0,-1.0
348,Mitchell,Butler,77.0,210.0,-1.0
353,Darrell,Armstrong,73.0,180.0,-1.0
418,Scott,Brooks,71.0,165.0,-1.0
422,Avery,Johnson,71.0,185.0,-1.0
426,Terry,Davis,82.0,270.0,-1.0
432,Pete,Chilcutt,82.0,432.0,1991.0
435,Carlos,Rogers,83.0,435.0,1994.0
448,Bo,Outlaw,80.0,220.0,-1.0
460,Trevor,Ruffin,73.0,460.0,-22.0
511,Melvin,Booker,74.0,511.0,-22.0
672,Matt,Bullard,82.0,229.0,-1.0
674,Reggie,Jordan,76.0,195.0,-1.0
676,Thomas,Hamilton,86.0,330.0,-1.0
680,John,Amaechi,82.0,270.0,-1.0
684,Loren,Meyer,82.0,684.0,1995.0
687,Rastko,Cvetkovic,85.0,260.0,-1.0
688,Michael,Curry,77.0,210.0,-1.0
694,Sam,Mack,,,-1.0
695,Eldridge,Recasner,,695.0,-22.0
697,Fred,Hoiberg,77.0,697.0,1995.0
700,Keith,Tower,83.0,250.0,-1.0
702,Voshon,Lenard,76.0,702.0,1994.0
706,Jerome,Allen,76.0,706.0,1995.0
715,John,Coker,,,-1.0
723,Clint,McDaniel,76.0,180.0,-1.0
725,Dell,Demps,75.0,205.0,-1.0
732,Ashraf,Amaya,80.0,732.0,-22.0
736,Cedric,Lewis,82.0,235.0,-1.0
757,Damon,Stoudamire,70.0,757.0,1995.0
770,Mark,West,82.0,770.0,1983.0
781,Will,Perdue,84.0,781.0,1988.0
785,Eric,Murdock,73.0,785.0,1991.0
900,Matt,Fish,83.0,900.0,1992.0
911,Ervin,Johnson,83.0,911.0,1993.0
915,Rodney,Rogers,79.0,915.0,1993.0
