column_name,PlayerStatistics,Players,TeamStatistics,present_in,in_ml_export
assists,DOUBLE,,DOUBLE,2,False
blocks,DOUBLE,,DOUBLE,2,False
fieldGoalsAttempted,DOUBLE,,DOUBLE,2,False
fieldGoalsMade,DOUBLE,,DOUBLE,2,False
fieldGoalsPercentage,DOUBLE,,DOUBLE,2,False
firstName,VARCHAR,VARCHAR,,2,False
foulsPersonal,DOUBLE,,DOUBLE,2,False
freeThrowsAttempted,DOUBLE,,DOUBLE,2,False
freeThrowsMade,DOUBLE,,DOUBLE,2,False
freeThrowsPercentage,DOUBLE,,DOUBLE,2,False
gameDate,TIMESTAMP,,TIMESTAMP,2,False
gameId,BIGINT,,BIGINT,2,False
home,BIGINT,,BIGINT,2,False
lastName,VARCHAR,VARCHAR,,2,False
numMinutes,DOUBLE,,DOUBLE,2,False
personId,BIGINT,BIGINT,,2,True
plusMinusPoints,DOUBLE,,DOUBLE,2,False
reboundsDefensive,DOUBLE,,DOUBLE,2,False
reboundsOffensive,DOUBLE,,DOUBLE,2,False
reboundsTotal,DOUBLE,,DOUBLE,2,False
steals,DOUBLE,,DOUBLE,2,False
threePointersAttempted,DOUBLE,,DOUBLE,2,False
threePointersMade,DOUBLE,,DOUBLE,2,False
threePointersPercentage,DOUBLE,,DOUBLE,2,False
turnovers,DOUBLE,,DOUBLE,2,False
win,BIGINT,,BIGINT,2,False
benchPoints,,,DOUBLE,1,False
biggestLead,,,DOUBLE,1,False
biggestScoringRun,,,DOUBLE,1,False
bio_data_source,,VARCHAR,,1,True
birthdate,,DATE,,1,True
bodyWeight,,DOUBLE,,1,True
center,,BOOLEAN,,1,False
coachId,,,VARCHAR,1,False
country,,VARCHAR,,1,True
draftNumber,,DOUBLE,,1,True
draftRound,,DOUBLE,,1,True
draftYear,,DOUBLE,,1,True
forward,,BOOLEAN,,1,False
gameLabel,VARCHAR,,,1,False
gameSubLabel,VARCHAR,,,1,False
gameType,VARCHAR,,,1,False
guard,,BOOLEAN,,1,False
height,,DOUBLE,,1,True
leadChanges,,,DOUBLE,1,False
opponentScore,,,BIGINT,1,False
opponentTeamCity,,,VARCHAR,1,False
opponentTeamId,,,BIGINT,1,False
opponentTeamName,,,VARCHAR,1,False
opponentteamCity,VARCHAR,,,1,False
opponentteamName,VARCHAR,,,1,False
playerteamCity,VARCHAR,,,1,False
playerteamName,VARCHAR,,,1,False
points,DOUBLE,,,1,False
pointsFastBreak,,,DOUBLE,1,False
pointsFromTurnovers,,,DOUBLE,1,False
pointsInThePaint,,,DOUBLE,1,False
pointsSecondChance,,,DOUBLE,1,False
q1Points,,,DOUBLE,1,False
q2Points,,,DOUBLE,1,False
q3Points,,,DOUBLE,1,False
q4Points,,,DOUBLE,1,False
seasonLosses,,,DOUBLE,1,False
seasonWins,,,DOUBLE,1,False
seriesGameNumber,DOUBLE,,,1,False
teamCity,,,VARCHAR,1,False
teamId,,,BIGINT,1,False
teamName,,,VARCHAR,1,False
teamScore,,,BIGINT,1,False
timeoutsRemaining,,,DOUBLE,1,False
timesTied,,,DOUBLE,1,False
