column_name,PlayerStatistics,Players,TeamStatistics,present_in
assists,DOUBLE,,DOUBLE,2
blocks,DOUBLE,,DOUBLE,2
fieldGoalsAttempted,DOUBLE,,DOUBLE,2
fieldGoalsMade,DOUBLE,,DOUBLE,2
fieldGoalsPercentage,DOUBLE,,DOUBLE,2
firstName,VARCHAR,VARCHAR,,2
foulsPersonal,DOUBLE,,DOUBLE,2
freeThrowsAttempted,DOUBLE,,DOUBLE,2
freeThrowsMade,DOUBLE,,DOUBLE,2
freeThrowsPercentage,DOUBLE,,DOUBLE,2
gameDate,TIMESTAMP,,TIMESTAMP,2
gameId,BIGINT,,BIGINT,2
home,BIGINT,,BIGINT,2
lastName,VARCHAR,VARCHAR,,2
numMinutes,DOUBLE,,DOUBLE,2
personId,BIGINT,BIGINT,,2
plusMinusPoints,DOUBLE,,DOUBLE,2
reboundsDefensive,DOUBLE,,DOUBLE,2
reboundsOffensive,DOUBLE,,DOUBLE,2
reboundsTotal,DOUBLE,,DOUBLE,2
steals,DOUBLE,,DOUBLE,2
threePointersAttempted,DOUBLE,,DOUBLE,2
threePointersMade,DOUBLE,,DOUBLE,2
threePointersPercentage,DOUBLE,,DOUBLE,2
turnovers,DOUBLE,,DOUBLE,2
win,BIGINT,,BIGINT,2
benchPoints,,,DOUBLE,1
biggestLead,,,DOUBLE,1
biggestScoringRun,,,DOUBLE,1
bio_data_source,,VARCHAR,,1
birthdate,,DATE,,1
bodyWeight,,DOUBLE,,1
center,,BOOLEAN,,1
coachId,,,VARCHAR,1
country,,VARCHAR,,1
draftNumber,,DOUBLE,,1
draftRound,,DOUBLE,,1
draftYear,,DOUBLE,,1
forward,,BOOLEAN,,1
gameLabel,VARCHAR,,,1
gameSubLabel,VARCHAR,,,1
gameType,VARCHAR,,,1
guard,,BOOLEAN,,1
height,,DOUBLE,,1
leadChanges,,,DOUBLE,1
opponentScore,,,BIGINT,1
opponentTeamCity,,,VARCHAR,1
opponentTeamId,,,BIGINT,1
opponentTeamName,,,VARCHAR,1
opponentteamCity,VARCHAR,,,1
opponentteamName,VARCHAR,,,1
playerteamCity,VARCHAR,,,1
playerteamName,VARCHAR,,,1
points,DOUBLE,,,1
pointsFastBreak,,,DOUBLE,1
pointsFromTurnovers,,,DOUBLE,1
pointsInThePaint,,,DOUBLE,1
pointsSecondChance,,,DOUBLE,1
q1Points,,,DOUBLE,1
q2Points,,,DOUBLE,1
q3Points,,,DOUBLE,1
q4Points,,,DOUBLE,1
seasonLosses,,,DOUBLE,1
seasonWins,,,DOUBLE,1
seriesGameNumber,DOUBLE,,,1
teamCity,,,VARCHAR,1
teamId,,,BIGINT,1
teamName,,,VARCHAR,1
teamScore,,,BIGINT,1
timeoutsRemaining,,,DOUBLE,1
timesTied,,,DOUBLE,1
