sample_idx,combination,value,order,feature_names,feature_names_str
0,(),0.2908711115261618,0,(),baseline
0,"(0,)",0.10134594375993002,1,"('sepal length (cm)',)",sepal length (cm)
0,"(1,)",0.07327617558899911,1,"('sepal width (cm)',)",sepal width (cm)
0,"(2,)",0.18659502392536462,1,"('petal length (cm)',)",petal length (cm)
0,"(3,)",0.3011745080516369,1,"('petal width (cm)',)",petal width (cm)
0,"(0, 1)",0.0009051161917831249,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
0,"(0, 2)",-0.0388683016192266,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
0,"(0, 3)",-0.011473794953520917,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
0,"(1, 2)",-0.024358862968957198,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
0,"(1, 3)",-0.0072154504567241064,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
0,"(2, 3)",0.00372705779585903,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
1,(),0.2908711115261618,0,(),baseline
1,"(0,)",-0.001355042724972829,1,"('sepal length (cm)',)",sepal length (cm)
1,"(1,)",-0.08763899335829364,1,"('sepal width (cm)',)",sepal width (cm)
1,"(2,)",0.23863650604779613,1,"('petal length (cm)',)",petal length (cm)
1,"(3,)",0.29137604574529286,1,"('petal width (cm)',)",petal width (cm)
1,"(0, 1)",-0.04892711611386154,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
1,"(0, 2)",-0.04542743169127938,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
1,"(0, 3)",-0.01798668909394778,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
1,"(1, 2)",-0.1332423584836102,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
