combination,feature_names,order,value,feature_names_str
(),(),0,0.30120323351611067,baseline
"(2,)","('petal length (cm)',)",1,0.14584388166363674,petal length (cm)
"(3,)","('petal width (cm)',)",1,0.13517069905717227,petal width (cm)
"(2, 3)","('petal length (cm)', 'petal width (cm)')",2,0.06272946970894513,petal length (cm) x petal width (cm)
"(0, 2)","('sepal length (cm)', 'petal length (cm)')",2,0.035163724835911264,sepal length (cm) x petal length (cm)
"(0,)","('sepal length (cm)',)",1,0.030653070028890454,sepal length (cm)
"(0, 3)","('sepal length (cm)', 'petal width (cm)')",2,0.026470534769180695,sepal length (cm) x petal width (cm)
"(1,)","('sepal width (cm)',)",1,0.008467816178245274,sepal width (cm)
"(0, 1)","('sepal length (cm)', 'sepal width (cm)')",2,0.005372318053696439,sepal length (cm) x sepal width (cm)
"(1, 2)","('sepal width (cm)', 'petal length (cm)')",2,0.004878246544644629,sepal width (cm) x petal length (cm)
"(1, 3)","('sepal width (cm)', 'petal width (cm)')",2,0.00428795702725254,sepal width (cm) x petal width (cm)
