pitch_id,game_id,season,date,pitch_number,pitcher_id,batter_id,batter_name,pre_pitch_inning,is_top_half,pre_pitch_outs,pre_pitch_balls,pre_pitch_strikes,release_speed,fast_first_pitch,month,day_of_week,home_team_id_enc,away_team_id_enc,home_team_name_enc,away_team_name_enc,pitcher_name_enc,pitch_type_enc,venue_id_enc
1242036,54842,2021,2021-04-01,1,4708.0,5199,Adam Frazier,1,1,0,0,0,86.1,0,4,3,25,14,4,21,30,3,18
1242401,54941,2021,2021-04-01,1,5447.0,5975,Tommy Edman,1,1,0,0,0,95.2,1,4,3,26,18,6,25,35,3,30
1240686,55033,2021,2021-04-01,1,3616.0,6061,Josh Rojas,1,1,0,0,0,83.2,0,4,3,14,0,20,0,55,2,29
1240365,55632,2021,2021-04-01,1,5312.0,4699,Mookie Betts,1,1,0,0,0,95.1,1,4,3,27,6,7,13,15,3,8
1243989,55715,2021,2021-04-01,1,5571.0,6129,Yoshitomo Tsutsugo,1,1,0,0,0,96.4,1,4,3,2,19,12,26,46,3,0
1243370,55838,2021,2021-04-01,1,4438.0,4545,Marcus Semien,1,1,0,0,0,97.7,1,4,3,9,21,16,28,16,3,19
1241004,56255,2021,2021-04-01,1,4972.0,5597,Ronald Acuna Jr.,1,1,0,0,0,91.4,1,4,3,12,11,18,1,0,3,28
1242723,56606,2021,2021-04-01,1,5440.0,5947,Luis Arraez,1,1,0,0,0,95.9,1,4,3,6,8,13,16,4,5,1
1246396,54901,2021,2021-04-02,1,5340.0,4699,Mookie Betts,1,1,0,0,0,96.3,1,4,4,27,6,7,13,3,3,8
1245762,55105,2021,2021-04-02,1,723.0,5784,Cedric Mullins,1,1,0,0,0,98.6,1,4,4,23,22,3,2,41,3,20
1244832,56500,2021,2021-04-02,1,5866.0,5422,Austin Slater,1,1,0,0,0,95.8,1,4,4,16,16,22,23,56,3,6
1247541,54898,2021,2021-04-03,1,4446.0,5597,Ronald Acuna Jr.,1,1,0,0,0,99.1,1,4,5,12,11,18,1,59,3,28
1248994,55357,2021,2021-04-03,1,4971.0,6093,Gavin Lux,1,1,0,0,0,94.2,1,4,5,27,6,7,13,22,3,8
1248387,55366,2021,2021-04-03,1,5246.0,6061,Josh Rojas,1,1,0,0,0,91.3,1,4,5,14,0,20,0,21,2,29
1249310,55696,2021,2021-04-03,1,5495.0,4651,Tommy La Stella,1,1,0,0,0,92.7,1,4,5,16,16,22,23,7,3,6
1248672,56327,2021,2021-04-03,1,5933.0,533,Jose Altuve,1,1,0,0,0,89.7,0,4,5,11,3,17,10,8,5,16
1250488,56687,2021,2021-04-03,1,5542.0,5975,Tommy Edman,1,1,0,0,0,93.7,1,4,5,26,18,6,25,52,3,30
1246997,56947,2021,2021-04-03,1,5754.0,5947,Luis Arraez,1,1,0,0,0,97.1,1,4,5,6,8,13,16,9,5,1
1254007,56036,2021,2021-04-04,1,5081.0,533,Jose Altuve,1,1,0,0,0,92.9,1,4,6,11,3,17,10,47,5,16
1253148,56773,2021,2021-04-04,1,5019.0,5199,Adam Frazier,1,1,0,0,0,87.3,0,4,6,25,14,4,21,57,5,18
1252885,57193,2021,2021-04-04,1,6243.0,5502,Jordan Luplow,1,1,0,0,0,93.7,1,4,6,1,28,8,7,50,3,4
